Arrests,Population,Rate
3181,4060,0.783497537
2698,6292,0.428798474
1853,10122,0.183066588
1725,2095,0.823389021
1683,2276,0.739455185
1552,3371,0.460397508
1444,5869,0.246038507
1201,6043,0.198742347
1164,6294,0.184938036
1127,8743,0.128903122
1067,603,1.769485904
1065,4257,0.25017618
1038,13214,0.07855305
1015,4955,0.204843592
1013,5684,0.178219564
982,8078,0.121564744
972,1411,0.68887314
905,2859,0.316544246
882,7421,0.118851907
857,3398,0.252207181
800,8669,0.092282847
775,14317,0.054131452
769,2558,0.300625489
750,1760,0.426136364
705,1270,0.55511811
695,2892,0.240318119
668,1728,0.386574074
664,2225,0.298426966
646,4583,0.140955706
640,16042,0.039895275
623,850,0.732941176
617,205,3.009756098
584,2456,0.237785016
572,1545,0.370226537
550,3966,0.13867877
523,3771,0.138690003
522,2491,0.209554396
503,1349,0.372868792
465,6810,0.068281938
451,3964,0.113773966
419,2057,0.203694701
415,7690,0.05396619
411,5822,0.070594297
406,2750,0.147636364
392,747,0.52476573
362,4775,0.075811518
348,1438,0.242002782
342,9602,0.03561758
338,2283,0.14805081
293,1884,0.15552017
282,2921,0.09654228
265,5414,0.048947174
251,1,251
245,1717,0.14269074
239,16545,0.014445452
236,3682,0.0640956
234,1852,0.126349892
229,803,0.285180573
228,4798,0.0475198
226,1732,0.130484988
217,17704,0.012257117
216,11336,0.01905434
212,3224,0.065756824
203,2572,0.078926905
199,920,0.216304348
191,840,0.227380952
177,4761,0.037177064
177,3537,0.050042409
161,3499,0.046013147
160,2754,0.058097313
159,3811,0.041721333
154,309,0.498381877
152,3083,0.049302627
136,1840,0.073913043
130,1331,0.097670924
122,716,0.170391061
118,272,0.433823529
107,3399,0.031479847
102,343,0.297376093
93,1181,0.078746825
90,3075,0.029268293
87,1534,0.056714472
83,4060,0.02044335
64,1058,0.060491493
60,1191,0.050377834
52,1,52
46,1,46
43,610,0.070491803
41,270,0.151851852
35,973,0.035971223
30,662,0.045317221
30,1345,0.022304833
28,314,0.089171975
27,1033,0.026137464
23,2892,0.007952974
17,598,0.028428094
6,2283,0.002628121
2,601,0.003327787
